repo,month,views,unique_visitors,clones,unique_cloners,downloads
MuteJack/C_Percent_Language,2026-03,0,0,5,5,0
MuteJack/C_Percent_Language,2026-04,12,2,122,62,0
MuteJack/Diff_Patch_Generator,2026-02,0,0,0,0,21
MuteJack/Diff_Patch_Generator,2026-03,0,0,1,1,30
MuteJack/Diff_Patch_Generator,2026-04,0,0,5,5,10
MuteJack/EllsTalesChairbound-AutoSplitter,2026-03,2,1,26,20,0
MuteJack/EllsTalesChairbound-AutoSplitter,2026-04,12,1,63,44,0
MuteJack/LiveSplit.AutoSplitters,2026-03,16,1,1,1,0
MuteJack/LiveSplit.AutoSplitters,2026-04,2,1,17,11,0
MuteJack/MuckKorean,2026-02,0,0,0,0,24
MuteJack/MuckKorean,2026-03,2,2,2,2,113
MuteJack/MuckKorean,2026-04,2,2,2,2,40
MuteJack/MuteJack-s-Batch-and-ShortCuts-Windows-,2026-03,0,0,2,2,0
MuteJack/MuteJack-s-Batch-and-ShortCuts-Windows-,2026-04,10,2,5,5,0
MuteJack/MuteJack.github.io,2026-03,0,0,12,10,0
MuteJack/MuteJack.github.io,2026-04,0,0,14,13,0
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-01,113,8,65,37,0
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-02,1222,195,192,121,3023
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-03,59,28,7,7,4641
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-04,22,7,4,4,1590
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-01,20,3,27,22,0
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-02,305,77,69,54,81
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-03,21,12,6,6,93
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-04,4,4,5,5,30
MuteJack/PLC_Quence,2026-03,0,0,5,5,0
MuteJack/PLC_Quence,2026-04,1,1,3,3,0
MuteJack/Traffic_Collector,2026-03,0,0,59,43,0
MuteJack/Traffic_Collector,2026-04,110,1,131,76,0
