repo,month,views,unique_visitors,clones,unique_cloners,downloads
MuteJack/C_Percent_Language,2026-03,0,0,5,5,0
MuteJack/C_Percent_Language,2026-04,14,4,231,102,0
MuteJack/Diff_Patch_Generator,2026-02,0,0,0,0,21
MuteJack/Diff_Patch_Generator,2026-03,0,0,1,1,30
MuteJack/Diff_Patch_Generator,2026-04,0,0,9,9,24
MuteJack/EllsTalesChairbound-AutoSplitter,2026-03,2,1,26,20,0
MuteJack/EllsTalesChairbound-AutoSplitter,2026-04,12,1,73,53,0
MuteJack/LiveSplit.AutoSplitters,2026-03,16,1,1,1,0
MuteJack/LiveSplit.AutoSplitters,2026-04,2,1,20,14,0
MuteJack/MuckKorean,2026-02,0,0,0,0,24
MuteJack/MuckKorean,2026-03,2,2,2,2,113
MuteJack/MuckKorean,2026-04,6,6,14,10,96
MuteJack/MuteJack-s-Batch-and-ShortCuts-Windows-,2026-03,0,0,2,2,0
MuteJack/MuteJack-s-Batch-and-ShortCuts-Windows-,2026-04,10,2,9,9,0
MuteJack/MuteJack.github.io,2026-03,0,0,12,10,0
MuteJack/MuteJack.github.io,2026-04,2,2,98,62,0
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-01,113,8,65,37,0
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-02,1222,195,192,121,3023
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-03,59,28,7,7,4641
MuteJack/Mycopsychosys-UnOfficial-Patch,2026-04,108,29,25,17,3979
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-01,20,3,27,22,0
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-02,305,77,69,54,81
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-03,21,12,6,6,93
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,2026-04,70,12,16,13,72
MuteJack/PLC_Quence,2026-03,0,0,5,5,0
MuteJack/PLC_Quence,2026-04,1,1,6,6,0
MuteJack/Traffic_Collector,2026-03,0,0,59,43,0
MuteJack/Traffic_Collector,2026-04,112,3,373,217,0
