repo,total_views,total_unique_visitors,total_clones,total_unique_cloners,total_downloads,last_date
MuteJack/C_Percent_Language,14,4,370,164,0,2026-08-17
MuteJack/Diff_Patch_Generator,1,1,38,38,200,2026-08-30
MuteJack/EllsTalesChairbound-AutoSplitter,14,2,209,140,0,2026-08-29
MuteJack/LiveSplit.AutoSplitters,18,2,34,27,0,2026-08-29
MuteJack/MuckKorean,238,90,79,56,1703,2026-08-30
MuteJack/MuteJack-s-Batch-and-ShortCuts-Windows-,11,3,37,36,0,2026-08-29
MuteJack/MuteJack.github.io,2,2,559,415,0,2026-08-29
MuteJack/Mycopsychosys-UnOfficial-Patch,1581,300,367,252,37076,2026-08-30
MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,429,111,141,116,618,2026-08-30
MuteJack/PLC_Quence,1,1,71,56,0,2026-08-29
MuteJack/Traffic_Collector,113,4,1860,1070,0,2026-08-29
MuteJack/Trans-To-Vostok,0,0,0,0,973,2026-08-30
